ai_register_id,government_organization_en,name_ai_system_en,ai_system_status_en,involves_personal_information,notification_ai,description_ai_system_en
2526-CBSA-ASFC-002,Canada Border Services Agency,Fuzzy Search (SSAName3),In production,Y,N,"Fuzzy Search (SSAName3) is a critical software tool used by CBSA to flag high risk travellers and goods. Utilized to conduct fuzzy name searching and matching across a number of CBSA’s lines of business solutions (Travellers, Commercial and Intelligence & Enforcement), particularly mission critical systems. The software processes data across multiple different datasets so they are properly indexed, identified, scored and ranked."
2526-CBSA-ASFC-004,Canada Border Services Agency,Primary Inspection Kiosk,In production,Y,,Self-service option for travellers arriving at Canadian airports to complete Primary Processing while crossing the border.
2526-CGC-CCG-001,Canadian Grain Commission,Darktrace,In production,Y,N,"Darktrace is a cybersecurity system that uses artificial intelligence (AI) to detect, investigate, and respond to cyber threats in real time. AI is used to learn normal patterns of behavior across networks, devices, and users, enabling the system to identify anomalies that may signal malicious activity. The business problem prompting AI use was the growing complexity, speed, and unpredictability of cyberattacks, which traditional rule-based security tools struggled to manage. The objective of the system is to provide autonomous threat detection and response, reducing reliance on manual intervention and minimizing the time to identify and contain threats."
2526-ESDC-EDSC-014,Employment and Social Development Canada,Record of Employment Comments Assessment,In production,Y,N,"Block 18 of the Record of Employment (ROE) is a text field for information about exceptional circumstances not captured elsewhere. However, Service Canada often receives ROEs with redundant or irrelevant information in block 18. The Record of Employment Comments Classification (ROECC) model processes comments in Block 18 to determine whether they contain information about the Reason for Separation and compare it with the RFS in Block 16. "
2526-ESDC-EDSC-015,Employment and Social Development Canada,Electronic SIN Automation,In production,Y,,"Use of computer vision to help validate the authenticity of identity documents uploaded by clients, as well as, reading, comparing, and extracting data from them. 
These documents will be submitted online as scans and/or photos (e.g.*.jpeg, *.pdf, etc.). 
"
2526-ESDC-EDSC-017,Employment and Social Development Canada,Employment Insurance Machine Learning Workload,In production,Y,,"Recalculation of Employment Insurance (EI) takes place when circumstances change or new information emerges that could make benefit calculations inaccurate. Where the initial benefit rate or weeks of entitlement were underestimated and EI underpaid, the claim is adjusted to compensate for the financial shortfall. In cases of overpayment, the claim is reduced to recover the excess amount. When no changes are identified and the initial benefit rate and weeks of entitlement were accurate, the claim remains unchanged. The primary objective of the EI Machine Learning Workload is to reduce the time spent by officers on claim reviews by identifying cases where a recalculation will not result in any change. This approach allows officers to focus on more complex reviews that require intervention and precision to ensure clients receive the correct benefit rate and entitlement."
2526-GAC-AMC-005,Global Affairs Canada,Export Control On-Line System (EXCOL),In production,Y,N,"EIPA permits are automatically granted by the NEICS & NEXCOL systems if specific conditions are met, through rules-based techniques (e.g., available quotas for importers/exporters). EXCOL is an interactive and computerized application that allows clients to submit export applications and certificates on-line using Secure Channel."
2526-GAC-AMC-022,Global Affairs Canada,New Export Import Control System (New EICS),In production,Y,N,"EIPA permits are automatically granted by the NEICS & NEXCOL systems if specific conditions are met, through rules-based techniques (e.g., available quotas for importers/exporters)."
2526-IRCC-013,"Immigration, Refugees and Citizenship Canada",Automation Tools to Help Process Privately Sponsored Refugee Applications,In production,Y,,This project seeks to streamline the processing of privately sponsored refugee applications using automation technology to help IRCC officers process applications more efficiently.
2526-RCMP-GRC-002,Royal Canadian Mounted Police,LASERi-X,In production,Y,N,The LASERi-X tool is designed to assist in the categorization and classification of child sexual exploitation images and videos. 
2526-RCMP-GRC-004,Royal Canadian Mounted Police,Text to speech,In production,Y,N,"The software, Dragon Naturally Speaking, is being used to fulfill accommodation requirements to assist an individual with a disability in the workplace. Specifically, this software offers speech-to-text and text-to-speech functionalities."
